symbol,macro,industry,basic
1STCUS,Financial Services,Finance,Non Banking Financial Company (NBFC)
20MICRONS,Metals & Mining,Minerals & Mining,Industrial Minerals
21STCENMGM,Financial Services,Capital Markets,Other Capital Market related Services
360ONE,Financial Services,Capital Markets,Stockbroking & Allied
3BBLACKBIO,Healthcare,Healthcare Services,Healthcare Service Provider
3BFILMS,Capital Goods,Industrial Products,Packaging
3CIT,Information Technology,IT - Services,IT Enabled Services
3IINFOLTD,Information Technology,IT - Software,Computers - Software & Consulting
3MINDIA,Diversified,Diversified,Diversified
3PLAND,Financial Services,Finance,Investment Company
4THGEN,Information Technology,IT - Software,Software Products
5PAISA,Financial Services,Capital Markets,Stockbroking & Allied
63MOONS,Information Technology,IT - Software,Computers - Software & Consulting
7NR,Consumer Services,Retailing,Speciality Retail
7SEASL,"Media, Entertainment & Publication",Entertainment,Digital Entertainment
7TEC,Information Technology,IT - Services,IT Enabled Services
A1L,Chemicals,Chemicals & Petrochemicals,Trading - Chemicals
A2ZINFRA,Services,Commercial Services & Supplies,Diversified Commercial Services
AAATECH,Services,Commercial Services & Supplies,Consulting Services
AADHARHFC,Financial Services,Finance,Housing Finance Company
AADIIND,Chemicals,Chemicals & Petrochemicals,Petrochemicals
AAIL,Automobile and Auto Components,Auto Components,Auto Components & Equipments
AANCHALISP,Capital Goods,Industrial Products,Iron & Steel Products
AAPLUSTRAD,Services,Commercial Services & Supplies,Trading & Distributors
AARCON,Financial Services,Finance,Other Financial Services
AAREYDRUGS,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
AARNAV,Textiles,Textiles & Apparels,Other Textile Products
AARTECH,Capital Goods,Electrical Equipment,Heavy Electrical Equipment
AARTIDRUGS,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
AARTIIND,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals
AARTIPHARM,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
AARTISURF,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals
AASHKA,Healthcare,Healthcare Services,Hospital
AASTAFIN,Financial Services,Finance,Non Banking Financial Company (NBFC)
AASTHA,Textiles,Textiles & Apparels,Other Textile Products
AAVAS,Financial Services,Finance,Housing Finance Company
